,Call_Number,Title
8915,BF309-499:Consciousness. Congition,lapproche transversale lécoute sensible en sciences humaines listening educational psychology social sciences epistemology
8916,BF712-724:Developmental psychology,play and development evolutionary sociocultural and functional perspectives play psychological aspects child development
8917,BF692:Psychology of Sex. Sexual Behavior,sexual images of the self the psychology of erotic sensations and illusions sex psychology body image psychosexual development
8918,BF636-637:Applied psychology,the structure of conflict interpersonal conflict conflict psychology conflict management philosophy
8919,BF309-499:Consciousness. Congition,thinking across cultures thought and thinking crosscultural studies congresses
8920,BF309-499:Consciousness. Congition,momentous events vivid memories memory
8921,BF309-499:Consciousness. Congition,the wiscr companion a desk reference for the wechsler scales wechsler intelligence scale for children
8922,BF65-172:Psychology,how to learn the alexander technique a manual for students alexander technique
8923,BF173-175:Psychoanalysis,the syndetic paradigm the untrodden path beyond freud and jung freud sigmund 18561939 jung c g carl gustav 18751961 psychoanalysis
8924,BF712-724:Developmental psychology,social cognition cognition in children social perception
8925,BF608-635:Will. Volition. Choice. Control,personal control in action cognitive and motivational mechanisms selfcontrol selfmanagement psychology
8926,BF309-499:Consciousness. Congition,cultural politics of everyday life social constructionism rhetoric and knowing of the third kind thought and thinking social interaction discourse analysis psychological aspects
8927,BF65-172:Psychology,the freudian calling early viennese psychoanalysis and the pursuit of cultural science freud sigmund 18561939 psychology austria vienna history 20th century psychoanalysis austria vienna history 20th century vienna austria intellectual life
8928,BF1585-1623:Magic. Hermetics. Necromancy,cunningfolk popular magic in english history magic england history magicians england history witchcraft england history witches england history
8929,BF697:Differential psychology. Individuality. Self,i the philosophy and psychology of personal identity identity psychology self
8930,BF309-499:Consciousness. Congition,pensar es devenir apuntes para una arqueología del pensar thought and thinking self
8931,BF173-175:Psychoanalysis,la psychanalyse à lépreuve de la sublimation freud sigmund 18561939 criticism and interpretation sublimation psychology psychoanalysis
8932,BF1783-1815:Seers. Prophets. Prophecies,the great pyramid and its builders pyramids egypt history
8933,BF636-637:Applied psychology,the leader psychohistorical essays leadership congresses leadership case studies congresses psychohistory congresses
8934,BF698:Personality,theories of personality understanding persons personality personality philosophy
8935,BF309-499:Consciousness. Congition,the development of social cognition social perception attribution social psychology cognition social perception
8936,BF712-724:Developmental psychology,communication and assertion skills for older persons interpersonal communication problems exercises etc interpersonal relations problems exercises etc assertiveness psychology problems exercises etc older people psychology
8938,BF38-64:Philosophy,question framing and response consistency social sciences methodology questions and answers communication in the social sciences
8939,BF65-172:Psychology,applied specialties in psychology psychology vocational guidance psychology applied vocational guidance
8940,BF309-499:Consciousness. Congition,learnercentered design a cognitive view of managing complexity in product information and environmental design learning psychology of human information processing complexity philosophy cognitive science categorization psychology
8941,BF712-724:Developmental psychology,developmental psychology developmental psychology
8942,BF712-724:Developmental psychology,adolescence a very short introduction adolescent psychology adolescence
8943,BF636-637:Applied psychology,supervision and the therapy practicum experience counseling study and teaching graduate
8944,BF712-724:Developmental psychology,aging and human motivation motivation psychology in old age older people psychology
8945,BF712-724:Developmental psychology,theories of moral development moral development developmental psychology educational psychology
8946,BF636-637:Applied psychology,the group workers handbook varieties of group experience group counseling group problem solving group psychotherapy
8947,BF840-885:Physiognomy. Phrenology,the philosophy of phrenology phrenology
8948,BF65-172:Psychology,what is psychology psychology
8949,BF712-724:Developmental psychology,the gardener and the carpenter what the new science of child development tells us about the relationship between parents and children developmental psychology child psychology parenting
8950,BF636-637:Applied psychology,creative arts in counseling and mental health counseling psychotherapy arts therapeutic use
8951,BF636-637:Applied psychology,psychologie du commandement leadership psychological aspects management psychological aspects
8952,BF309-499:Consciousness. Congition,linconscient malgré lui meaning psychology consciousness
8953,BF309-499:Consciousness. Congition,mechanical aptitude and spatial relations tests mechanical ability examinations questions etc space perception examinations questions etc
8954,BF173-175:Psychoanalysis,upside the new science of posttraumatic growth psychic trauma posttraumatic stress disorder life change events psychological aspects
